file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,140,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,0
style.css,141,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,14
style.css,142,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,18
style.css,143,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,9
style.css,144,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,11
style.css,145,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,14
style.css,146,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,20
style.css,147,css,90b4524a,Owen Yang,2025-01-18,18:25:30,-08:00,2025-01-18T18:25:30-08:00,0,0
style.css,148,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,21
style.css,149,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,20
style.css,150,css,aedca164,Owen Yang,2025-01-25,18:22:12,-08:00,2025-01-25T18:22:12-08:00,0,18
style.css,151,css,90b4524a,Owen Yang,2025-01-18,18:25:30,-08:00,2025-01-18T18:25:30-08:00,0,0
style.css,152,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,15
style.css,153,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,13
style.css,154,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,23
style.css,155,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,9
style.css,156,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,18
style.css,157,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,17
style.css,158,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,30
style.css,159,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,160,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,161,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,18
style.css,162,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,13
style.css,163,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,19
style.css,164,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,9
style.css,165,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,166,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,167,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,18
style.css,168,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,17
